employee,customer_and_account_no,product_name,sale_date,sale_amount,units_sold,invoice_no,invoice_frequency
Clancy Wiggum (clancy.wiggum@korning.com),Motorola (MT928534),Chimp Glass,07/21/2012,$301711.88,660197,33178,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),HTC (HT925638),Gorilla Glass,06/17/2012,$677932.88,936194,54394,Once
Clancy Wiggum (clancy.wiggum@korning.com),Nokia (NK881241),Baboon Glass,08/09/2012,$931826.14,496044,79309,Once
Bob Lob (bob.lob@korning.com),Samsung (SG373953),Orangutan Glass,10/01/2012,$732945.84,523808,51969,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),LG (LG858843),Chimp Glass,04/25/2012,$245150.61,552266,45336,Quarterly
Bob Lob (bob.lob@korning.com),Apple (AP512452),Baboon Glass,10/09/2012,$146111.18,534452,18976,Monthly
Ricky Bobby (ricky.bobby@korning.com),LG (LG858843),Gorilla Glass,10/10/2012,$504502.63,977348,24142,Monthly
Ricky Bobby (ricky.bobby@korning.com),HTC (HT925638),Chimp Glass,06/22/2012,$569603.54,507945,23065,Once
Ricky Bobby (ricky.bobby@korning.com),LG (LG858843),Gorilla Glass,12/17/2012,$196014.53,578450,33781,Once
Bob Lob (bob.lob@korning.com),Nokia (NK881241),Orangutan Glass,06/22/2012,$252197.74,365564,60697,Once
Ricky Bobby (ricky.bobby@korning.com),Samsung (SG373953),Gorilla Glass,12/03/2012,$244635.12,777284,86401,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),Apple (AP512452),Baboon Glass,05/05/2012,$304164.52,288076,18812,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),LG (LG858843),Chimp Glass,05/20/2012,$435586.03,374604,37648,Monthly
Bob Lob (bob.lob@korning.com),LG (LG858843),Baboon Glass,09/20/2012,$964755.42,430310,16801,Quarterly
Ricky Bobby (ricky.bobby@korning.com),Samsung (SG373953),Chimp Glass,10/29/2012,$329164.59,178051,54259,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),Nokia (NK881241),Chimp Glass,08/24/2012,$791591.78,443052,85817,Once
Ricky Bobby (ricky.bobby@korning.com),Nokia (NK881241),Chimp Glass,07/07/2012,$470608.98,622706,85491,Once
Bob Lob (bob.lob@korning.com),Samsung (SG373953),Chimp Glass,07/30/2012,$340602.40,977881,50476,Once
Ricky Bobby (ricky.bobby@korning.com),HTC (HT925638),Gorilla Glass,05/03/2012,$219445.18,761892,46187,Monthly
Ricky Bobby (ricky.bobby@korning.com),Nokia (NK881241),Baboon Glass,03/20/2012,$347228.31,386171,75387,Monthly
Clancy Wiggum (clancy.wiggum@korning.com),Apple (AP512452),Baboon Glass,02/17/2012,$312994.39,174963,60265,Once
Clancy Wiggum (clancy.wiggum@korning.com),Motorola (MT928534),Chimp Glass,09/09/2012,$966255.50,661545,39972,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),Samsung (SG373953),Gorilla Glass,05/24/2012,$675019.83,775943,89787,Once
Ricky Bobby (ricky.bobby@korning.com),Motorola (MT928534),Baboon Glass,02/11/2012,$774342.09,403433,32594,Once
Bob Lob (bob.lob@korning.com),LG (LG858843),Baboon Glass,03/21/2012,$912680.73,546296,88719,Once
Clancy Wiggum (clancy.wiggum@korning.com),Samsung (SG373953),Orangutan Glass,05/22/2012,$743679.15,636760,15242,Once
Bob Lob (bob.lob@korning.com),LG (LG858843),Chimp Glass,05/30/2012,$943653.92,334617,47486,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),Nokia (NK881241),Gorilla Glass,04/09/2012,$528646.78,546659,75160,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),HTC (HT925638),Baboon Glass,06/21/2012,$566675.67,964302,68211,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),Nokia (NK881241),Chimp Glass,07/19/2012,$126998.55,813737,43544,Quarterly
Ricky Bobby (ricky.bobby@korning.com),HTC (HT925638),Gorilla Glass,11/28/2012,$482369.55,238034,69427,Quarterly
Ricky Bobby (ricky.bobby@korning.com),HTC (HT925638),Gorilla Glass,10/23/2012,$886433.40,387587,24665,Monthly
Clancy Wiggum (clancy.wiggum@korning.com),Apple (AP512452),Baboon Glass,03/04/2012,$136344.95,500125,45398,Quarterly
Bob Lob (bob.lob@korning.com),HTC (HT925638),Baboon Glass,08/24/2012,$868923.31,187170,67086,Quarterly
Bob Lob (bob.lob@korning.com),Samsung (SG373953),Gorilla Glass,02/14/2012,$854793.72,417025,41370,Once
Bob Lob (bob.lob@korning.com),LG (LG858843),Chimp Glass,04/20/2012,$331620.60,120598,61520,Once
Clancy Wiggum (clancy.wiggum@korning.com),Samsung (SG373953),Gorilla Glass,07/03/2012,$703723.30,196522,61049,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),HTC (HT925638),Chimp Glass,03/27/2012,$191533.36,400050,32372,Quarterly
Ricky Bobby (ricky.bobby@korning.com),Nokia (NK881241),Baboon Glass,09/11/2012,$109905.83,132692,48331,Quarterly
Ricky Bobby (ricky.bobby@korning.com),Nokia (NK881241),Gorilla Glass,11/24/2012,$627746.24,514583,76858,Monthly
Clancy Wiggum (clancy.wiggum@korning.com),HTC (HT925638),Chimp Glass,08/12/2012,$249417.50,378908,86703,Monthly
Ricky Bobby (ricky.bobby@korning.com),Samsung (SG373953),Orangutan Glass,10/11/2012,$337425.21,848882,19137,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),LG (LG858843),Chimp Glass,12/06/2012,$545523.80,868859,63156,Monthly
Clancy Wiggum (clancy.wiggum@korning.com),HTC (HT925638),Orangutan Glass,10/04/2012,$627352.10,409504,29504,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),Nokia (NK881241),Chimp Glass,12/12/2012,$214702.44,222855,27765,Monthly
Bob Lob (bob.lob@korning.com),HTC (HT925638),Chimp Glass,08/05/2012,$784832.19,786687,72241,Quarterly
Ricky Bobby (ricky.bobby@korning.com),Motorola (MT928534),Gorilla Glass,11/05/2012,$929984.75,159897,32784,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),Motorola (MT928534),Chimp Glass,06/03/2012,$931762.32,406843,18172,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),LG (LG858843),Chimp Glass,03/20/2012,$180423.86,271158,79853,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),Samsung (SG373953),Gorilla Glass,10/29/2012,$141537.14,848384,66111,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),HTC (HT925638),Chimp Glass,08/24/2012,$319513.87,398669,85058,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),Apple (AP512452),Chimp Glass,04/07/2012,$845518.58,592776,49630,Once
Bob Lob (bob.lob@korning.com),HTC (HT925638),Orangutan Glass,01/26/2012,$801140.19,707894,86085,Quarterly
Ricky Bobby (ricky.bobby@korning.com),Apple (AP512452),Gorilla Glass,02/12/2012,$177746.43,249200,50326,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),Samsung (SG373953),Chimp Glass,09/12/2012,$501198.53,943083,70354,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),Nokia (NK881241),Orangutan Glass,05/04/2012,$320827.08,380492,48555,Monthly
Ricky Bobby (ricky.bobby@korning.com),Motorola (MT928534),Orangutan Glass,07/31/2012,$651083.41,714925,82354,Once
Ricky Bobby (ricky.bobby@korning.com),Samsung (SG373953),Baboon Glass,08/06/2012,$406684.76,806949,51080,Once
Clancy Wiggum (clancy.wiggum@korning.com),Samsung (SG373953),Chimp Glass,02/18/2012,$820904.74,573861,63590,Once
Clancy Wiggum (clancy.wiggum@korning.com),LG (LG858843),Orangutan Glass,07/08/2012,$787390.96,105782,64232,Quarterly
Bob Lob (bob.lob@korning.com),Motorola (MT928534),Gorilla Glass,06/19/2012,$673966.01,338671,23383,Monthly
Bob Lob (bob.lob@korning.com),Samsung (SG373953),Chimp Glass,03/14/2012,$549991.48,604214,63348,Quarterly
Bob Lob (bob.lob@korning.com),Apple (AP512452),Orangutan Glass,03/10/2012,$665153.79,867469,21424,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),Motorola (MT928534),Orangutan Glass,12/15/2012,$957372.82,337515,90995,Quarterly
Ricky Bobby (ricky.bobby@korning.com),Apple (AP512452),Chimp Glass,08/01/2012,$115310.44,694560,48457,Quarterly
Ricky Bobby (ricky.bobby@korning.com),Motorola (MT928534),Baboon Glass,06/19/2012,$742964.42,372734,28387,Monthly
Ricky Bobby (ricky.bobby@korning.com),Motorola (MT928534),Baboon Glass,12/14/2012,$928425.03,287868,89113,Quarterly
Ricky Bobby (ricky.bobby@korning.com),HTC (HT925638),Chimp Glass,01/31/2012,$449808.16,718098,31602,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),HTC (HT925638),Orangutan Glass,11/22/2012,$737961.89,959789,70488,Once
Clancy Wiggum (clancy.wiggum@korning.com),Samsung (SG373953),Chimp Glass,11/26/2012,$502529.01,778607,40972,Monthly
Ricky Bobby (ricky.bobby@korning.com),Apple (AP512452),Baboon Glass,04/08/2012,$435115.93,639203,45402,Monthly
Bob Lob (bob.lob@korning.com),Nokia (NK881241),Orangutan Glass,01/18/2012,$589669.94,810844,22185,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),Nokia (NK881241),Gorilla Glass,06/18/2012,$602670.18,785589,83652,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),HTC (HT925638),Baboon Glass,05/26/2012,$274162.32,675827,91430,Quarterly
Ricky Bobby (ricky.bobby@korning.com),LG (LG858843),Orangutan Glass,08/11/2012,$512735.81,761426,31034,Once
Clancy Wiggum (clancy.wiggum@korning.com),HTC (HT925638),Orangutan Glass,08/01/2012,$636448.96,475359,88699,Monthly
Ricky Bobby (ricky.bobby@korning.com),Nokia (NK881241),Gorilla Glass,10/04/2012,$107415.89,333008,38701,Monthly
Ricky Bobby (ricky.bobby@korning.com),Samsung (SG373953),Orangutan Glass,10/28/2012,$759047.84,539621,56295,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),Nokia (NK881241),Gorilla Glass,12/03/2012,$484528.52,683704,81303,Once
Bob Lob (bob.lob@korning.com),Samsung (SG373953),Chimp Glass,11/12/2012,$233688.50,898981,47299,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),LG (LG858843),Gorilla Glass,12/24/2012,$459100.12,992091,80777,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),Samsung (SG373953),Chimp Glass,05/06/2012,$759409.99,783689,74476,Once
Ricky Bobby (ricky.bobby@korning.com),Apple (AP512452),Gorilla Glass,07/12/2012,$652397.94,974046,73869,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),Samsung (SG373953),Orangutan Glass,01/30/2012,$323323.61,516852,39733,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),LG (LG858843),Orangutan Glass,09/13/2012,$348454.34,819082,46155,Once
Clancy Wiggum (clancy.wiggum@korning.com),Apple (AP512452),Orangutan Glass,08/17/2012,$482584.99,720976,18785,Once
Ricky Bobby (ricky.bobby@korning.com),Nokia (NK881241),Baboon Glass,12/11/2012,$631891.78,687555,44989,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),LG (LG858843),Baboon Glass,05/29/2012,$606909.44,398013,46858,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),Apple (AP512452),Chimp Glass,04/04/2012,$862844.53,482294,91920,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),Apple (AP512452),Chimp Glass,07/18/2012,$473287.16,174620,21093,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),LG (LG858843),Orangutan Glass,05/12/2012,$785146.43,197767,26585,Once
Bob Lob (bob.lob@korning.com),Motorola (MT928534),Baboon Glass,07/23/2012,$222219.11,440778,54086,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),HTC (HT925638),Gorilla Glass,01/10/2012,$246629.45,333012,91094,Once
Bob Lob (bob.lob@korning.com),Apple (AP512452),Gorilla Glass,08/02/2012,$545480.51,376041,80073,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),Motorola (MT928534),Orangutan Glass,05/24/2012,$125076.31,964916,39624,Once
Clancy Wiggum (clancy.wiggum@korning.com),Nokia (NK881241),Gorilla Glass,10/10/2012,$590816.45,975008,22404,Once
Bob Lob (bob.lob@korning.com),Samsung (SG373953),Baboon Glass,05/21/2012,$811896.61,568431,59512,Once
Clancy Wiggum (clancy.wiggum@korning.com),Motorola (MT928534),Baboon Glass,08/26/2012,$619779.27,337329,58926,Once
Clancy Wiggum (clancy.wiggum@korning.com),Apple (AP512452),Gorilla Glass,10/28/2012,$296144.82,440182,36604,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),LG (LG858843),Baboon Glass,10/18/2012,$849392.36,895126,19817,Once
Ricky Bobby (ricky.bobby@korning.com),Motorola (MT928534),Gorilla Glass,05/24/2012,$630804.08,366669,68901,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),Motorola (MT928534),Baboon Glass,04/07/2012,$273751.81,771970,47331,Once
Bob Lob (bob.lob@korning.com),Nokia (NK881241),Orangutan Glass,06/06/2012,$799518.13,107282,23426,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),Samsung (SG373953),Orangutan Glass,04/17/2012,$417484.54,185228,19742,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),Nokia (NK881241),Baboon Glass,06/03/2012,$470404.62,802374,42896,Monthly
Clancy Wiggum (clancy.wiggum@korning.com),HTC (HT925638),Baboon Glass,08/10/2012,$370723.28,267496,17791,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),HTC (HT925638),Chimp Glass,08/10/2012,$334495.39,204143,33932,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),HTC (HT925638),Baboon Glass,01/03/2012,$326134.09,354447,41691,Monthly
Clancy Wiggum (clancy.wiggum@korning.com),Nokia (NK881241),Chimp Glass,04/03/2012,$477323.16,281855,84692,Monthly
Bob Lob (bob.lob@korning.com),Motorola (MT928534),Gorilla Glass,02/29/2012,$684195.64,391418,87834,Monthly
Bob Lob (bob.lob@korning.com),Samsung (SG373953),Baboon Glass,08/13/2012,$543742.62,845401,22815,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),Samsung (SG373953),Gorilla Glass,08/28/2012,$434438.99,731549,90736,Monthly
Ricky Bobby (ricky.bobby@korning.com),HTC (HT925638),Baboon Glass,10/15/2012,$899109.14,377126,81422,Monthly
Bob Lob (bob.lob@korning.com),Apple (AP512452),Baboon Glass,05/15/2012,$713286.58,898088,66665,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),LG (LG858843),Baboon Glass,10/31/2012,$688424.09,379870,17620,Once
Ricky Bobby (ricky.bobby@korning.com),Motorola (MT928534),Orangutan Glass,08/25/2012,$417309.72,117560,62371,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),LG (LG858843),Gorilla Glass,01/14/2012,$551408.69,144636,74246,Once
Bob Lob (bob.lob@korning.com),Nokia (NK881241),Chimp Glass,06/30/2012,$204972.94,876648,90652,Once
Clancy Wiggum (clancy.wiggum@korning.com),Samsung (SG373953),Gorilla Glass,10/08/2012,$427120.28,857274,49597,Quarterly
Bob Lob (bob.lob@korning.com),Apple (AP512452),Orangutan Glass,12/30/2012,$809398.36,540717,32366,Once
Bob Lob (bob.lob@korning.com),Motorola (MT928534),Gorilla Glass,01/06/2012,$194309.11,558763,59092,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),Motorola (MT928534),Chimp Glass,09/26/2012,$961605.60,864413,76980,Monthly
Ricky Bobby (ricky.bobby@korning.com),Samsung (SG373953),Gorilla Glass,06/02/2012,$602635.21,995067,81981,Monthly
Ricky Bobby (ricky.bobby@korning.com),HTC (HT925638),Gorilla Glass,12/01/2012,$356397.09,886558,75911,Monthly
Bob Lob (bob.lob@korning.com),Samsung (SG373953),Orangutan Glass,02/19/2012,$785616.08,912552,20166,Monthly
Bob Lob (bob.lob@korning.com),Nokia (NK881241),Orangutan Glass,01/03/2012,$915807.64,456037,79875,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),Nokia (NK881241),Baboon Glass,06/14/2012,$706314.96,519045,90498,Monthly
Ricky Bobby (ricky.bobby@korning.com),Samsung (SG373953),Orangutan Glass,08/11/2012,$401116.31,787104,23398,Monthly
Clancy Wiggum (clancy.wiggum@korning.com),Apple (AP512452),Gorilla Glass,03/21/2012,$174658.57,116867,45894,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),HTC (HT925638),Chimp Glass,07/03/2012,$978487.98,263332,32185,Once
Bob Lob (bob.lob@korning.com),Samsung (SG373953),Baboon Glass,02/25/2012,$207877.72,344324,21272,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),Motorola (MT928534),Baboon Glass,01/19/2012,$296334.33,344602,68303,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),HTC (HT925638),Chimp Glass,10/16/2012,$510091.69,188104,67599,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),Apple (AP512452),Orangutan Glass,12/04/2012,$959937.05,420806,56010,Once
Bob Lob (bob.lob@korning.com),Motorola (MT928534),Gorilla Glass,09/26/2012,$632352.30,139846,38434,Quarterly
Ricky Bobby (ricky.bobby@korning.com),Motorola (MT928534),Gorilla Glass,06/18/2012,$187263.86,958005,63576,Monthly
Ricky Bobby (ricky.bobby@korning.com),Samsung (SG373953),Orangutan Glass,02/15/2012,$579220.39,493521,45334,Monthly
Ricky Bobby (ricky.bobby@korning.com),LG (LG858843),Orangutan Glass,06/05/2012,$900883.72,652562,52069,Once
Clancy Wiggum (clancy.wiggum@korning.com),HTC (HT925638),Chimp Glass,11/03/2012,$428735.85,239219,43011,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),Samsung (SG373953),Baboon Glass,10/26/2012,$845625.96,643328,34734,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),Motorola (MT928534),Chimp Glass,09/08/2012,$803299.34,250023,56666,Monthly
Clancy Wiggum (clancy.wiggum@korning.com),HTC (HT925638),Gorilla Glass,03/11/2012,$235515.19,729353,60719,Monthly
Ricky Bobby (ricky.bobby@korning.com),LG (LG858843),Orangutan Glass,03/07/2012,$388570.43,653899,83088,Monthly
Bob Lob (bob.lob@korning.com),Nokia (NK881241),Gorilla Glass,09/14/2012,$571106.03,234718,64087,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),HTC (HT925638),Baboon Glass,12/24/2012,$260491.19,342246,56458,Quarterly
Bob Lob (bob.lob@korning.com),Nokia (NK881241),Baboon Glass,01/09/2012,$128772.05,960517,41164,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),LG (LG858843),Baboon Glass,03/14/2012,$838309.69,861138,18630,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),LG (LG858843),Gorilla Glass,12/01/2012,$908603.53,103447,36866,Monthly
Bob Lob (bob.lob@korning.com),LG (LG858843),Baboon Glass,11/30/2012,$958487.26,134594,58092,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),HTC (HT925638),Chimp Glass,12/30/2012,$760544.15,220627,82065,Once
Bob Lob (bob.lob@korning.com),Samsung (SG373953),Gorilla Glass,05/30/2012,$438153.59,854978,21494,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),Nokia (NK881241),Gorilla Glass,03/30/2012,$360141.13,808831,51555,Once
Bob Lob (bob.lob@korning.com),Nokia (NK881241),Orangutan Glass,04/22/2012,$809228.99,444645,44275,Monthly
Bob Lob (bob.lob@korning.com),LG (LG858843),Orangutan Glass,10/26/2012,$311547.36,547969,72235,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),Motorola (MT928534),Orangutan Glass,06/26/2012,$471540.94,673118,76071,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),Apple (AP512452),Gorilla Glass,04/15/2012,$821331.89,657899,29253,Monthly
Clancy Wiggum (clancy.wiggum@korning.com),Motorola (MT928534),Gorilla Glass,08/05/2012,$438133.42,633040,67288,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),Apple (AP512452),Gorilla Glass,07/27/2012,$144056.19,450386,81104,Once
Bob Lob (bob.lob@korning.com),Motorola (MT928534),Gorilla Glass,09/13/2012,$587431.06,404640,30891,Once
Bob Lob (bob.lob@korning.com),Apple (AP512452),Baboon Glass,10/28/2012,$902266.56,978626,88587,Once
Clancy Wiggum (clancy.wiggum@korning.com),HTC (HT925638),Gorilla Glass,04/06/2012,$506608.57,620787,72057,Monthly
Ricky Bobby (ricky.bobby@korning.com),Motorola (MT928534),Baboon Glass,11/23/2012,$706864.68,447157,17566,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),HTC (HT925638),Gorilla Glass,06/09/2012,$341762.57,104636,34610,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),Samsung (SG373953),Orangutan Glass,10/15/2012,$398731.54,706184,72574,Monthly
Ricky Bobby (ricky.bobby@korning.com),LG (LG858843),Gorilla Glass,11/18/2012,$581697.56,571611,58170,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),Nokia (NK881241),Chimp Glass,01/04/2012,$879444.97,404979,83384,Once
Ricky Bobby (ricky.bobby@korning.com),LG (LG858843),Orangutan Glass,08/01/2012,$744845.75,309399,21874,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),Apple (AP512452),Gorilla Glass,08/07/2012,$789990.61,553938,65480,Once
Clancy Wiggum (clancy.wiggum@korning.com),Samsung (SG373953),Chimp Glass,04/27/2012,$895000.76,452276,64614,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),Nokia (NK881241),Orangutan Glass,08/02/2012,$382241.65,727541,37942,Once
Bob Lob (bob.lob@korning.com),Nokia (NK881241),Baboon Glass,08/22/2012,$229030.65,584229,41681,Once
Bob Lob (bob.lob@korning.com),HTC (HT925638),Orangutan Glass,09/03/2012,$910338.12,645139,90109,Quarterly
Ricky Bobby (ricky.bobby@korning.com),Samsung (SG373953),Gorilla Glass,11/24/2012,$136384.94,917600,35806,Quarterly
Bob Lob (bob.lob@korning.com),Apple (AP512452),Chimp Glass,10/17/2012,$514665.92,797029,19037,Once
Clancy Wiggum (clancy.wiggum@korning.com),Motorola (MT928534),Orangutan Glass,07/15/2012,$995531.60,106183,24097,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),HTC (HT925638),Chimp Glass,04/01/2012,$830223.71,930013,69276,Once
Bob Lob (bob.lob@korning.com),Nokia (NK881241),Baboon Glass,10/18/2012,$903053.41,590837,75948,Once
Bob Lob (bob.lob@korning.com),LG (LG858843),Chimp Glass,10/14/2012,$148640.25,610684,18482,Quarterly
Bob Lob (bob.lob@korning.com),Nokia (NK881241),Orangutan Glass,06/18/2012,$963657.95,921670,74424,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),Motorola (MT928534),Gorilla Glass,09/25/2012,$772003.66,680398,23840,Quarterly
Bob Lob (bob.lob@korning.com),HTC (HT925638),Gorilla Glass,03/16/2012,$506287.33,934284,46915,Monthly
Bob Lob (bob.lob@korning.com),Samsung (SG373953),Gorilla Glass,01/12/2012,$165110.99,607166,18027,Once
Bob Lob (bob.lob@korning.com),Motorola (MT928534),Orangutan Glass,09/20/2012,$228861.53,544865,34321,Monthly
Clancy Wiggum (clancy.wiggum@korning.com),HTC (HT925638),Gorilla Glass,06/19/2012,$387688.60,609735,77929,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),Samsung (SG373953),Gorilla Glass,01/14/2012,$127563.37,150293,15526,Monthly
Bob Lob (bob.lob@korning.com),Nokia (NK881241),Gorilla Glass,03/31/2012,$334495.59,640794,85597,Quarterly
